"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"1",3,0,1,1,2,1,"1. FTF (face-to-face) mode",1,2,"1. Male",1,NA,1,79,0,1,1,1,1,1,1,2,0,0,NA,3,6,4,3,1,1
"2",4,0,1,1,1,1,"1. FTF (face-to-face) mode",0,2,"2. Female",3,NA,2,72,0,1,1,0,1,1,0,2,1,1,NA,3,6,3,2,0,1
"3",9,0,1,1,1,2,"1. FTF (face-to-face) mode",1,2,"1. Male",2,NA,2,35,0,1,1,0,0,1,1,2,0,0,NA,3,3,2,1,1,1
"4",10,0,1,1,1,2,"1. FTF (face-to-face) mode",1,2,"1. Male",2,NA,2,35,0,1,1,0,0,1,1,2,0,0,NA,3,3,2,1,1,1
"5",11,0,1,1,1,2,"1. FTF (face-to-face) mode",1,2,"1. Male",2,NA,2,35,0,1,1,0,0,1,1,2,0,0,NA,3,3,2,1,1,1
"6",12,0,1,1,1,2,"1. FTF (face-to-face) mode",1,2,"1. Male",2,NA,2,35,0,1,1,0,0,1,1,2,0,0,NA,3,3,2,1,1,1
"7",13,0,1,1,1,2,"1. FTF (face-to-face) mode",1,2,"1. Male",2,NA,2,35,0,1,1,0,0,1,1,2,0,0,NA,3,3,2,1,1,1
"8",33,0.5,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,49,1,1,0,0,0,1,1,1,0,1,2,3,4,2,1,1,1
"9",34,0.5,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,49,1,1,0,0,0,1,1,1,0,1,2,3,4,2,1,1,1
"10",35,0.5,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,49,1,1,0,0,0,1,1,1,0,1,2,3,4,2,1,1,1
"11",36,0.5,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,49,1,1,0,0,0,1,1,1,0,1,2,3,4,2,1,1,1
"12",37,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,NA,1,1,1,1,1,1,1,1,0,1,2,3,NA,5,4,1,1
"13",38,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,NA,1,1,1,1,1,1,1,1,0,1,2,3,NA,5,4,1,1
"14",39,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,NA,1,1,1,1,1,1,1,1,0,1,2,3,NA,5,4,1,1
"15",42,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,64,0,1,0,0,0,1,1,1,1,1,2,1,5,1,0,1,0
"16",43,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,64,0,1,0,0,0,1,1,1,1,1,2,1,5,1,0,1,0
"17",44,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,64,0,1,0,0,0,1,1,1,1,1,2,1,5,1,0,1,0
"18",56,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,1,51,1,1,1,1,1,1,1,1,0,1,2,3,4,5,4,1,1
"19",57,0.5,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,4,1,51,1,1,1,1,1,1,0,1,0,1,2,3,4,5,4,0,1
"20",66,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,2,25,0,1,1,1,1,1,1,1,0,1,NA,3,2,4,3,1,1
"21",80,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,3,4,53,0,1,0,1,1,1,1,1,0,1,1,1,4,3,2,1,0
"22",81,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,3,4,53,0,1,0,1,1,1,1,1,0,1,1,1,4,3,2,1,0
"23",82,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,3,4,53,0,1,0,1,1,1,1,1,0,1,1,1,4,3,2,1,0
"24",83,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,3,4,53,0,1,0,1,1,1,1,1,0,1,1,1,4,3,2,1,0
"25",84,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,NA,1,83,0,1,0,1,0,1,1,1,1,1,NA,3,6,2,1,1,1
