"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"1",1,0,0,1,0,0,1,1,"1. FTF/CASI",2,1,1,1,9,NA,"3. About half the time",1987,0,1,0,0,0,1,1,1,0,0,NA,3,29,2,1,0,1,1
"2",2,0,0,1,0,0.5,2,1,"1. FTF/CASI",2,1,1,1,13,NA,"1. Always",1990,0,1,1,1,0,1,1,1,0,1,NA,5,26,2,3,2,1,3
"3",3,0,0,0,0,0,2,1,"1. FTF/CASI",-2,0,1,1,9,NA,"4. Some of the time",1993,0,0,0,1,0,1,0,1,0,0,NA,2,23,1,1,0,0,0
"4",4,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,9,13,"3. About half the time",1958,0,1,1,1,1,1,1,1,0,0,2,3,58,5,4,3,1,1
"5",5,0,0,1,0,0,2,1,"1. FTF/CASI",4,1,1,2,9,NA,"3. About half the time",1978,0,1,0,1,0,1,1,1,1,0,NA,3,38,3,2,1,1,1
"6",6,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,14,14,"1. Always",1956,0,1,1,1,1,1,1,1,0,1,2,5,60,5,4,3,1,3
"7",7,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,2,1,5,9,"2. Most of the time",1958,0,1,0,1,1,1,1,2,0,0,0,4,58,5,3,2,1,2
"8",8,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,9,9,"1. Always",1960,0,1,1,1,0,1,1,1,1,0,0,5,56,5,3,2,1,3
"9",9,0.5,0,1,1,1,2,2,"1. FTF/CASI",-2,0,6,1,9,NA,"1. Always",1971,1,1,1,1,1,1,0,4,0,0,NA,5,45,4,5,4,0,3
"10",10,0,0,1,0,0.5,2,1,"1. FTF/CASI",3,0,1,2,10,13,"3. About half the time",1986,0,1,1,1,0,1,0,1,1,1,2,3,30,2,3,2,0,1
"11",13,0,0,1,1,1,2,2,"1. FTF/CASI",3,1,5,1,13,11,"2. Most of the time",1986,0,1,1,1,1,1,1,3,0,1,1,4,30,2,4,3,1,2
"12",14,0.5,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,12,9,"2. Most of the time",1949,1,1,1,1,1,1,1,1,0,1,0,4,67,6,5,4,1,2
"13",15,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,14,NA,"1. Always",1954,0,1,1,1,1,1,1,1,1,1,NA,5,62,5,4,3,1,3
"14",16,0,0,1,0,0,2,2,"1. FTF/CASI",-2,0,1,1,9,NA,"4. Some of the time",1965,0,1,0,1,1,1,0,1,0,0,NA,2,51,4,3,2,0,0
"15",17,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,5,1,14,13,"1. Always",1970,1,1,1,1,1,1,1,3,0,1,2,5,46,4,5,4,1,3
"16",18,0,0,1,0,0,2,1,"1. FTF/CASI",2,1,1,1,13,NA,"2. Most of the time",1946,0,1,0,1,0,1,1,1,0,1,NA,4,70,6,2,1,1,2
"17",19,1,1,1,1,1,2,1,"1. FTF/CASI",1,1,1,2,14,14,"1. Always",1986,1,1,1,1,0,1,1,1,1,1,2,5,30,2,4,3,1,3
"18",20,0,0,1,1,1,2,1,"1. FTF/CASI",-2,1,1,2,10,10,"2. Most of the time",1949,0,1,1,1,0,1,1,1,1,1,1,4,67,6,3,2,1,2
"19",21,0,0,0,0,0,2,2,"1. FTF/CASI",2,1,1,2,9,NA,"3. About half the time",1950,0,0,0,1,1,1,1,1,1,0,NA,3,66,6,2,1,1,1
"20",22,0,0,1,0,0,2,2,"1. FTF/CASI",2,1,1,2,12,NA,"3. About half the time",1984,0,1,0,1,1,1,1,1,1,1,NA,3,32,2,3,2,1,1
"21",24,0,0,1,1,1,2,2,"1. FTF/CASI",2,0,1,2,14,NA,"3. About half the time",1951,0,1,1,1,1,1,0,1,1,1,NA,3,65,6,4,3,0,1
"22",25,0,0,1,1,1,1,2,"1. FTF/CASI",2,1,6,1,8,9,"2. Most of the time",1955,0,1,1,0,1,1,1,4,0,0,0,4,61,5,3,2,1,2
"23",26,0,0,0,0,0,2,2,"1. FTF/CASI",-2,1,4,1,7,NA,"2. Most of the time",1982,0,0,0,1,1,1,1,4,0,0,NA,4,34,2,2,1,1,2
"24",27,0,0,1,1,1,1,2,"1. FTF/CASI",-2,1,1,NA,13,NA,"4. Some of the time",1948,0,1,1,0,1,1,1,1,NA,1,NA,2,68,6,3,2,1,0
"25",28,0,0,1,0,0,2,2,"1. FTF/CASI",-9,1,1,2,9,9,"4. Some of the time",1991,0,1,0,1,1,1,1,1,1,0,0,2,25,2,3,2,1,0
"26",29,0.5,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,14,14,"1. Always",1943,1,1,1,1,1,1,1,1,0,1,2,5,73,6,5,4,1,3
"27",30,0,0,1,1,1,1,1,"1. FTF/CASI",-9,1,1,2,9,10,"2. Most of the time",1949,0,1,1,0,0,1,1,1,1,0,1,4,67,6,2,1,1,2
"28",31,0,0,1,0,0,2,1,"1. FTF/CASI",-2,1,1,2,14,12,"3. About half the time",1981,0,1,0,1,0,1,1,1,1,1,1,3,35,3,2,1,1,1
"29",33,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,10,12,"2. Most of the time",1943,0,1,1,1,1,1,1,1,1,1,1,4,73,6,4,3,1,2
"30",34,1,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,13,12,"1. Always",1947,1,1,1,1,1,1,1,1,0,1,1,5,69,6,5,4,1,3
"31",35,0,0,1,0,0,2,2,"1. FTF/CASI",-2,0,1,2,13,NA,"4. Some of the time",1975,0,1,0,1,1,1,0,1,1,1,NA,2,41,3,3,2,0,0
"32",36,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,16,9,"1. Always",1949,1,1,1,1,1,1,1,1,0,1,0,5,67,6,5,4,1,3
"33",38,0,0,1,0,0,2,1,"1. FTF/CASI",2,1,1,1,11,11,"2. Most of the time",1962,0,1,0,1,0,1,1,1,0,1,1,4,54,4,2,1,1,2
"34",39,0,0,0,0,0,1,2,"1. FTF/CASI",-2,0,5,1,4,NA,"4. Some of the time",1968,0,0,0,0,1,1,0,3,0,0,NA,2,48,4,1,0,0,0
"35",40,0,0,1,0,0,1,2,"1. FTF/CASI",1,1,2,2,10,NA,"3. About half the time",1990,0,1,0,0,1,1,1,2,1,1,NA,3,26,2,2,1,1,1
"36",42,0,0,0,0,0,1,1,"1. FTF/CASI",2,0,1,2,11,NA,"4. Some of the time",1991,0,0,0,0,0,1,0,1,1,1,NA,2,25,2,0,0,0,0
"37",43,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,2,2,13,NA,"1. Always",1970,0,1,1,1,1,1,1,2,1,1,NA,5,46,4,4,3,1,3
"38",44,0.5,0,1,0,0,2,2,"1. FTF/CASI",2,1,1,1,11,NA,"1. Always",1957,1,1,0,1,1,1,1,1,0,1,NA,5,59,5,4,3,1,3
"39",45,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,12,10,"2. Most of the time",1977,0,1,1,1,0,1,1,1,1,1,1,4,39,3,3,2,1,2
"40",46,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,13,13,"3. About half the time",1964,0,1,1,1,1,1,1,1,1,1,2,3,52,4,4,3,1,1
"41",47,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,5,2,13,13,"4. Some of the time",1987,0,0,0,0,0,1,0,3,1,1,2,2,29,2,0,0,0,0
"42",48,0,0,1,0,0.5,2,2,"1. FTF/CASI",2,1,1,1,11,NA,"2. Most of the time",1970,0,1,1,1,1,1,1,1,0,1,NA,4,46,4,4,3,1,2
"43",49,0,0,1,0,0,2,2,"1. FTF/CASI",-2,1,6,1,NA,13,"4. Some of the time",1971,0,1,0,1,1,1,1,4,0,NA,2,2,45,4,3,2,1,0
"44",52,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,14,NA,"1. Always",1955,0,1,1,1,1,1,1,1,1,1,NA,5,61,5,4,3,1,3
"45",54,0.5,0,1,0,0,1,2,"1. FTF/CASI",2,1,1,1,11,12,"1. Always",1961,1,1,0,0,1,1,1,1,0,1,1,5,55,5,3,2,1,3
"46",56,0,0,1,0,0,1,2,"1. FTF/CASI",-2,1,1,2,12,14,"3. About half the time",1992,0,1,0,0,1,1,1,1,1,1,2,3,24,1,2,1,1,1
"47",57,0,0,0,0,0,1,2,"1. FTF/CASI",1,1,5,2,2,NA,"5. Never",1931,0,0,0,0,1,1,1,3,1,0,NA,1,85,6,1,0,1,0
"48",58,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,5,1,13,NA,"2. Most of the time",1955,0,1,1,1,1,1,1,3,0,1,NA,4,61,5,4,3,1,2
"49",59,0,0,1,0,0.5,2,1,"1. FTF/CASI",1,1,1,2,13,NA,"4. Some of the time",1964,0,1,1,1,0,1,1,1,1,1,NA,2,52,4,3,2,1,0
"50",60,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,1,1,9,NA,"3. About half the time",1960,0,0,0,0,0,1,0,1,0,0,NA,3,56,5,0,0,0,1
"51",61,0.5,0,1,1,1,1,2,"1. FTF/CASI",1,1,2,1,10,NA,"2. Most of the time",1948,1,1,1,0,1,1,1,2,0,1,NA,4,68,6,4,3,1,2
"52",62,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,2,2,10,NA,"1. Always",1940,0,1,0,1,1,1,1,2,1,1,NA,5,76,6,3,2,1,3
"53",63,0,0,0,0,0,2,1,"1. FTF/CASI",2,1,1,1,13,NA,"5. Never",1985,0,0,0,1,0,1,1,1,0,1,NA,1,31,2,1,0,1,0
"54",64,0,0,0,0,0,1,1,"1. FTF/CASI",2,1,1,2,13,14,"3. About half the time",1997,0,0,0,0,0,1,1,1,1,1,2,3,19,1,0,0,1,1
"55",67,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,14,14,"2. Most of the time",1959,0,1,1,1,1,1,1,1,0,1,2,4,57,5,4,3,1,2
"56",68,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,1,2,9,10,"5. Never",1989,0,0,0,0,0,1,0,1,1,0,1,1,27,2,0,0,0,0
"57",69,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,1,2,9,NA,"4. Some of the time",1984,0,0,0,0,0,1,0,1,1,0,NA,2,32,2,0,0,0,0
"58",70,0,0,1,1,1,2,2,"1. FTF/CASI",-2,0,1,1,12,NA,"2. Most of the time",1971,0,1,1,1,1,1,0,1,0,1,NA,4,45,4,4,3,0,2
"59",71,0,0,0,0,0,2,2,"1. FTF/CASI",1,1,5,2,7,NA,"4. Some of the time",1966,0,0,0,1,1,1,1,3,1,0,NA,2,50,4,2,1,1,0
"60",72,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,2,2,14,NA,"2. Most of the time",1948,0,1,1,1,1,1,1,2,1,1,NA,4,68,6,4,3,1,2
"61",73,0.5,0,1,1,1,2,2,"1. FTF/CASI",1,1,6,1,10,10,"1. Always",1956,1,1,1,1,1,1,1,4,0,1,1,5,60,5,5,4,1,3
"62",74,0,0,1,0,0.5,1,1,"1. FTF/CASI",1,0,5,2,13,NA,"2. Most of the time",1980,0,1,1,0,0,1,0,3,1,1,NA,4,36,3,2,1,0,2
"63",75,0,0,0,0,0.5,1,2,"1. FTF/CASI",1,1,5,2,7,6,"5. Never",1989,0,0,1,0,1,1,1,3,1,0,0,1,27,2,2,1,1,0
"64",76,0,0,1,0,0,1,1,"1. FTF/CASI",-2,0,3,1,9,9,"1. Always",-8,0,1,0,0,0,1,0,4,0,0,0,5,NA,NA,1,0,0,3
"65",77,0,0,1,0,0.5,2,2,"1. FTF/CASI",2,0,1,2,10,11,"2. Most of the time",1970,0,1,1,1,1,1,0,1,1,1,1,4,46,4,4,3,0,2
"66",78,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,10,13,"3. About half the time",1981,1,1,1,1,1,1,1,1,0,1,2,3,35,3,5,4,1,1
"67",79,0,0,0,0,0,2,2,"1. FTF/CASI",-2,0,1,2,9,9,"3. About half the time",1972,0,0,0,1,1,1,0,1,1,0,0,3,44,3,2,1,0,1
"68",80,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,2,2,9,9,"4. Some of the time",1938,0,1,0,1,1,1,1,2,1,0,0,2,78,6,3,2,1,0
"69",82,0,0,0,0,0,1,1,"1. FTF/CASI",1,1,5,2,12,NA,"1. Always",1951,0,0,0,0,0,1,1,3,1,1,NA,5,65,6,0,0,1,3
"70",83,0,0,1,1,1,2,1,"1. FTF/CASI",1,1,1,1,9,5,"2. Most of the time",1961,0,1,1,1,0,1,1,1,0,0,0,4,55,5,3,2,1,2
"71",84,0,0,1,1,1,2,1,"1. FTF/CASI",1,1,5,2,13,NA,"1. Always",1947,0,1,1,1,0,1,1,3,1,1,NA,5,69,6,3,2,1,3
"72",85,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,2,1,13,NA,"2. Most of the time",1961,0,1,1,1,1,1,1,2,0,1,NA,4,55,5,4,3,1,2
"73",86,0,0,1,1,1,2,2,"1. FTF/CASI",-2,1,1,1,13,13,"4. Some of the time",1985,0,1,1,1,1,1,1,1,0,1,2,2,31,2,4,3,1,0
"74",87,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,14,13,"2. Most of the time",1948,0,1,1,1,1,1,1,1,0,1,2,4,68,6,4,3,1,2
